date,satellite,cloud_pct,status,season,threshold,action
2025-08-21,Sentinel-2A,13.4,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-08-21,Sentinel-2A,38.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-08-24,Sentinel-2B,84.9,REJECTED,Kharif,50,Skipped — cloud cover 84.9% exceeds 50% Kharif QA threshold
2025-08-24,Sentinel-2B,83.5,REJECTED,Kharif,50,Skipped — cloud cover 83.5% exceeds 50% Kharif QA threshold
2025-08-26,Sentinel-2C,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-08-26,Sentinel-2C,99.9,REJECTED,Kharif,50,Skipped — cloud cover 99.9% exceeds 50% Kharif QA threshold
2025-08-29,Sentinel-2C,94.5,REJECTED,Kharif,50,Skipped — cloud cover 94.5% exceeds 50% Kharif QA threshold
2025-08-29,Sentinel-2C,83.3,REJECTED,Kharif,50,Skipped — cloud cover 83.3% exceeds 50% Kharif QA threshold
2025-08-31,Sentinel-2B,100.0,REJECTED,Kharif,50,Skipped — cloud cover 100.0% exceeds 50% Kharif QA threshold
2025-09-03,Sentinel-2B,87.1,REJECTED,Kharif,50,Skipped — cloud cover 87.1% exceeds 50% Kharif QA threshold
2025-09-03,Sentinel-2B,88.5,REJECTED,Kharif,50,Skipped — cloud cover 88.5% exceeds 50% Kharif QA threshold
2025-09-05,Sentinel-2C,44.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-05,Sentinel-2C,49.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-07,Sentinel-2A,80.6,REJECTED,Kharif,50,Skipped — cloud cover 80.6% exceeds 50% Kharif QA threshold
2025-09-07,Sentinel-2A,74.2,REJECTED,Kharif,50,Skipped — cloud cover 74.2% exceeds 50% Kharif QA threshold
2025-09-08,Sentinel-2C,33.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-08,Sentinel-2C,51.0,REJECTED,Kharif,50,Skipped — cloud cover 51.0% exceeds 50% Kharif QA threshold
2025-09-10,Sentinel-2A,42.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-10,Sentinel-2A,48.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-10,Sentinel-2B,38.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-10,Sentinel-2B,59.2,REJECTED,Kharif,50,Skipped — cloud cover 59.2% exceeds 50% Kharif QA threshold
2025-09-13,Sentinel-2B,47.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-13,Sentinel-2B,17.1,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-15,Sentinel-2C,64.6,REJECTED,Kharif,50,Skipped — cloud cover 64.6% exceeds 50% Kharif QA threshold
2025-09-15,Sentinel-2C,7.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-18,Sentinel-2C,29.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-18,Sentinel-2C,43.9,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-20,Sentinel-2B,2.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-20,Sentinel-2B,0.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-23,Sentinel-2B,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-23,Sentinel-2B,2.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-25,Sentinel-2C,11.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-25,Sentinel-2C,0.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-27,Sentinel-2A,0.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-27,Sentinel-2A,0.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-28,Sentinel-2C,5.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-28,Sentinel-2C,1.1,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-30,Sentinel-2A,9.6,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-30,Sentinel-2A,4.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-30,Sentinel-2B,13.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-09-30,Sentinel-2B,14.1,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-03,Sentinel-2B,47.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-03,Sentinel-2B,48.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-05,Sentinel-2C,7.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-05,Sentinel-2C,51.7,REJECTED,Kharif,50,Skipped — cloud cover 51.7% exceeds 50% Kharif QA threshold
2025-10-08,Sentinel-2C,55.5,REJECTED,Kharif,50,Skipped — cloud cover 55.5% exceeds 50% Kharif QA threshold
2025-10-08,Sentinel-2C,31.4,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-10,Sentinel-2B,3.4,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-10,Sentinel-2B,0.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-13,Sentinel-2B,0.8,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-13,Sentinel-2B,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-15,Sentinel-2C,2.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-15,Sentinel-2C,10.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-17,Sentinel-2A,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-17,Sentinel-2A,0.4,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-18,Sentinel-2C,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-20,Sentinel-2A,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-20,Sentinel-2B,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-23,Sentinel-2B,0.3,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-23,Sentinel-2B,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-25,Sentinel-2C,0.0,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-25,Sentinel-2C,0.5,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-28,Sentinel-2C,80.4,REJECTED,Kharif,50,Skipped — cloud cover 80.4% exceeds 50% Kharif QA threshold
2025-10-28,Sentinel-2C,11.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
2025-10-30,Sentinel-2B,4.7,ACCEPTED,Kharif,50,Used in composite — NDVI extracted at 208 points
