sample_id,easting_utm,northing_utm,longitude,latitude,bulk_density,pH,EC,K2O,available_P,OC,CaCO3,available_N,CEC,dem,slope,aspect,lulc,lithology,geomorphology,NDVI,NDBI,SAVI,BSI
filebc494d5a79.83,634165.0,3411345.0,76.40278503,30.82766585,216.29,8.587,0.083,47.9108,17.696,0.36,0.125,200.704,14.0652174,224.46697998046875,4.0,296.06500244140625,1.0,1.0,1.0,0.4567697337291342,-0.1746201167264242,0.2582404006216502,-0.0948333613705516
filebc494d5a79.84,627055.0,3405055.0,76.32768224,30.77170688,180.84,8.606,0.084,55.3336,18.592,0.2775,0.125,200.704,13.4826087,222.12168884277344,1.0,146.11492919921875,2.0,1.0,1.0,0.4081964676333175,-0.0595569376973868,0.2469419343297049,0.0087520291964223
filebc494d5a79.85,632915.0,3403775.0,76.38873661,30.75951885,192.022,8.552,0.081,80.976,11.872,0.375,0.25,225.792,0.86304348,223.87298583984372,2.0,11.159446716308594,3.0,1.0,1.0,0.4166902443638625,-0.0552044063480704,0.2588752257958006,0.0096398458176266
filebc494d5a79.86,625485.0,3403905.0,76.31113925,30.76149942,201.69,8.331,0.154,94.472,18.144,0.435,0.5,225.792,18.3347826,220.7135772705078,2.0,54.34028625488281,3.0,1.0,1.0,0.4859296540171413,-0.160745855890654,0.3230512363806832,-0.080503253304531
filebc494d5a79.87,627015.0,3407815.0,76.32760636,30.79660938,207.628,8.416,0.099,90.4232,0.448,0.3525,0.25,200.704,15.276087,223.8106231689453,1.0,312.0060119628906,2.0,1.0,1.0,0.5253214653725817,-0.1450803052675964,0.340823991082439,-0.0736668017753168
filebc494d5a79.88,622955.0,3408085.0,76.28521135,30.79947275,186.208,8.229,0.118,202.44,41.216,0.6,0.375,225.792,7.2673913,221.34327697753903,3.0,335.753173828125,1.0,2.0,1.0,0.554212828149119,-0.182177945163195,0.3103772422533547,-0.1208769740957524
filebc494d5a79.89,628845.0,3403185.0,76.346148,30.75464468,212.058,8.665,0.072,85.6996,12.992,0.225,0.25,200.704,14.0652174,222.40310668945312,1.0,238.03396606445312,2.0,1.0,1.0,0.3401733695927375,0.0126417309567706,0.1842777803771803,0.0564027151705892
filebc494d5a79.90,627505.0,3409415.0,76.33292608,30.81099051,266.514,8.486,0.09,26.992,35.168,0.48,0.5,188.16,18.9130435,226.088623046875,4.0,193.1351623535156,3.0,1.0,1.0,0.4238185174899492,-0.0909617464920543,0.2199476738268939,-0.0331812422936051
filebc494d5a79.91,627015.0,3415405.0,76.3285491,30.86507899,210.809,8.66,0.077,45.2116,16.128,0.36,2.0,263.424,19.473913,225.21278381347656,3.0,145.13934326171875,2.0,1.0,1.0,0.5804643742036036,-0.2927308289450101,0.3729850180465978,-0.1931589477273989
filebc494d5a79.92,625435.0,3412215.0,76.31163464,30.83647033,263.699,8.609,0.105,37.7888,18.144,0.6,0.5,301.056,16.5108696,223.61671447753903,2.0,188.14111328125,2.0,1.0,1.0,0.1855541872618207,0.0960595001303114,0.0904980510481923,0.1245853973595816
