lon,lat,class_code,class_name,color,season
76.34557,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.346469,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.347367,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.348265,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.349163,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.350062,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.35096,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.351858,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.352757,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.37252,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.373418,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.374316,30.721934,2,Spring Maize,#16a34a,Rabi 2025-26
76.375215,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.376113,30.721934,1,Wheat,#fbbf24,Rabi 2025-26
76.284485,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.285383,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.286281,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.28718,30.722832,2,Spring Maize,#16a34a,Rabi 2025-26
76.288078,30.722832,2,Spring Maize,#16a34a,Rabi 2025-26
76.288976,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.289875,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.290773,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.291671,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.29257,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.293468,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.294366,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.295265,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.296163,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.297061,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.297959,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.298858,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.299756,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.300654,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.301553,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
76.302451,30.722832,1,Wheat,#fbbf24,Rabi 2025-26
