point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,rabi_mean,spring_max,spring_mean,kharif_max,kharif_mean,kharif_early_max,kharif_early_mean,annual_mean,annual_std,annual_min,n_observations,class_rabi_2025_26,class_kharif_2025
76.337093_30.764663,76.33709320447916,30.76466295324718,4,Others,sugarcane( now sown)(1 m height),0.86801314,0.7733322376923077,0.5625824,0.29701304777777776,0.70655185,0.6297667619999999,0.67589575,0.675002775,0.49297886001639346,0.18250138506155544,0.050997782,122,Wheat,Kharif_Maize
76.337271_30.724602,76.3372709413635,30.724601665794108,2,Maize_Tall,maize,0.30266717,0.22259605074074076,0.9652651,0.7422440235294117,0.6859868,0.6213385005263158,0.8272892,0.7492885025,0.5030468228024193,0.2321667711219492,-0.014245015,248,Spring_Maize,Kharif_Maize
76.337396_30.718555,76.33739634171799,30.71855534564313,1,Wheat,wheat,0.9518834,0.851785438888889,0.21232417,0.15713329829411762,0.84296805,0.7525309514999999,0.75784755,0.47029146750000006,0.437265337992,0.3102204581007801,0.01968135,250,Wheat,Kharif_Maize
76.337736_30.728025,76.33773597285636,30.728025394164916,1,Wheat,wheat,0.5171935,0.3103851553846154,0.9988723,0.7804571955555555,0.8390027,0.4491816255555556,0.72763056,0.483010325,0.47833345388429754,0.2754474635252879,0.07593189,121,Spring_Maize,Kharif_Maize
76.338617_30.821849,76.33861676652617,30.821848829624063,1,Wheat,wheat,0.8990752,0.8332172069230768,0.31230503,0.21666429666666667,0.88505745,0.742922373,0.43241224,0.43241224,0.43436188368548384,0.29784188750878965,0.041296795,124,Wheat,Kharif_Maize
76.338824_30.829245,76.33882394188781,30.829244966877127,1,Wheat,wheat,0.88105315,0.7702107269230769,0.6276562,0.3325826388888889,0.81700754,0.712241201,0.6798669,0.59587495,0.5047261114881889,0.2131864758349856,0.053435113,127,Wheat,Kharif_Maize
76.338867_30.78711,76.33886678767016,30.787110321176087,1,Wheat,wheat+sugarcane,0.81032366,0.7347219938461538,0.22899263,0.15581887,0.8166406,0.6783836318181818,0.8182126,0.74754207,0.43797726507086604,0.2826076082571498,0.062653564,127,Wheat,Kharif_Maize
76.339308_30.758595,76.33930773738875,30.758595111807107,4,Others,ladyfinger,0.71763325,0.5874315646153846,0.6065379,0.4453325177777777,0.7910112,0.5569496136363636,0.67191845,0.48976632499999995,0.43855690130081304,0.14400866387406863,0.04038156,123,Wheat,Kharif_Maize
76.339485_30.85423,76.33948466009275,30.85422981817841,4,Others,okra+onion,0.8852565,0.8090795215384616,0.28156114,0.21851251777777778,0.8394495,0.773933275,0.16853933,0.16853933,0.4824794328571428,0.2832410177252149,0.04172662,126,Wheat,Rice
76.339493_30.734233,76.33949287462436,30.734232737586368,1,Wheat,wheat,0.90419406,0.8339032876923077,0.39822486,0.20887691888888893,0.8357143,0.39207206000000006,0.67815405,0.516891975,0.38632820226229503,0.29708358383367517,0.06419401,122,Wheat,Kharif_Maize
76.339522_30.804246,76.33952241919195,30.80424597231152,1,Wheat,wheat,0.8808933,0.8355633569230769,0.24043322,0.18746724555555552,0.8215515,0.6236021110000001,0.40145984,0.244947607,0.4041616553888888,0.28505313872887883,0.04122497,126,Wheat,Kharif_Maize
76.33979_30.831039,76.33978981411703,30.831039436561845,4,Others,vegatble+muskmelon,0.34295082,0.2610399146153846,0.9408576,0.8273391588888889,0.8627859,0.41013705600000006,0.6524954,0.47546591499999996,0.510375854390625,0.2924432211553871,0.022367703,128,Spring_Maize,Kharif_Maize
76.340129_30.795217,76.34012878696949,30.79521738099712,2,Maize_Tall,maize,0.79469204,0.7270098276923076,0.79136693,0.6839236533333333,0.82638705,0.7223199336363636,0.75324315,0.733912705,0.6235750559055117,0.12272445102987636,0.06525339,127,Other,Kharif_Maize
76.340619_30.807934,76.34061885002538,30.807933782661213,1,Wheat,wheat,0.41527957,0.36460205538461543,0.92924124,0.8199041833333333,0.4754411,0.38327338099999997,0.21920668,0.21920668,0.552537847328,0.22620615468515948,0.070342876,125,Spring_Maize,Other
76.341437_30.844195,76.34143653009487,30.84419490689035,4,Others,onion,0.90505296,0.848048416923077,0.31135532,0.2069272722222222,0.8921613,0.720113374,0.8291402,0.8291402,0.471022318576,0.3137713643232076,0.020180933,125,Wheat,Kharif_Maize
76.342355_30.767406,76.34235526401403,30.76740552643507,4,Others,(long) sugarcane,0.90615267,0.8427421292307693,0.33835617,0.21205104444444445,0.8686297,0.7029348709090909,0.25107297,0.25107297,0.4744129056097561,0.2641720892728722,0.0726257,123,Wheat,Rice
76.343688_30.727964,76.34368821251354,30.72796390224372,4,Others,cabbage,0.52636176,0.4596388307692308,0.5593395,0.4930454388888889,0.8506622,0.7674046800000001,0.3313783,0.1787120385,0.4337039087258065,0.24895209280141528,0.025177535,124,Other,Rice
76.343769_30.793917,76.34376863969742,30.793916570572435,2,Maize_Tall,maize,0.85292184,0.7921693476923076,0.36609152,0.23493888666666665,0.8935018,0.591947581,0.7487209,0.467713335,0.4363745543333334,0.2869544059302729,0.07285897,126,Wheat,Kharif_Maize
76.344395_30.733731,76.3443949114719,30.733730922643385,1,Wheat,wheat,0.8341885,0.7723944438461537,0.5208333,0.3620972588888889,0.8647915,0.7425045922222222,0.73560894,0.636724385,0.5138324248780488,0.21581522757511404,0.02812983,123,Wheat,Kharif_Maize
76.345257_30.735617,76.34525668165887,30.7356166952231,1,Wheat,wheat,0.9085366,0.823345243076923,0.4205021,0.22516227111111112,0.79909366,0.668841399,0.47586924,0.3715944,0.4191878586129031,0.28503922830244127,0.015782828,124,Wheat,Kharif_Maize
76.345792_30.834135,76.3457924495507,30.83413500150333,1,Wheat,wheat,0.880597,0.8260276153846154,0.2963443,0.1932934811111111,0.83182406,0.6845013488888889,0.765625,0.386688469,0.4382633927380951,0.3066064189833499,0.007751938,126,Wheat,Kharif_Maize
76.347917_30.82906,76.3479171843637,30.829060437263493,1,Wheat,wheat,0.8984557,0.844453469230769,0.35298452,0.22442938111111113,0.8457429,0.7196889439999999,0.5759017,0.339823163,0.423725713936508,0.2912889134825133,0.045863695,126,Wheat,Kharif_Maize
76.34794_30.785753,76.34793970488174,30.78575317148289,4,Others,brinjal+chilli,0.6573276,0.5830505984615384,0.46905974,0.40175408555555564,0.719774,0.6256721489999999,0.3316062,0.3316062,0.48645109383999996,0.18462850448448934,0.05419766,125,Wheat,Rice
76.348426_30.760666,76.34842577145523,30.760666004735327,4,Others,karela+cucumber+beetroot(chukandar),0.70886075,0.6208341615384616,0.27651715,0.19656517222222225,0.7880096,0.430545791,0.77261984,0.6934994699999999,0.4337937645573771,0.16503953419530246,0.056809906,122,Wheat,Kharif_Maize
76.349048_30.820207,76.34904797386542,30.820206837017224,1,Wheat,wheat,0.82879764,0.7494087992307694,0.56409466,0.29352919222222223,0.8658767,0.759733697,0.53069806,0.53069806,0.42845087067200005,0.27585341769980215,0.03219575,125,Wheat,Kharif_Maize
76.349454_30.781948,76.34945410470569,30.78194803889853,1,Wheat,wheat,0.83462405,0.7790446315384615,0.3008953,0.2143445377777778,0.8221355,0.657992709,0.71176285,0.553325775,0.41904560088,0.26145822593417856,0.07442021,125,Wheat,Kharif_Maize
76.349469_30.775542,76.34946916220666,30.775542025581373,4,Others,mustard,0.75090486,0.6901211753846154,0.41298214,0.31448156777777775,0.8482374,0.6730790560000001,0.6698821,0.648431085,0.4748781486290323,0.19613676014628276,0.04674273,124,Wheat,Kharif_Maize
76.350781_30.779679,76.35078086441705,30.779678640021974,4,Others,cucumber,0.91076547,0.8469421553846155,0.25397387,0.1853369788888889,0.8415163,0.7757667655555555,0.6689742,0.404379575,0.4548061126774194,0.30380070163276984,0.06987296,124,Wheat,Kharif_Maize
76.352074_30.797439,76.35207433936421,30.79743911919715,1,Wheat,wheat,0.9019042,0.8527363538461538,0.2972973,0.18896667888888888,0.886445,0.7709970927272728,0.36245212,0.349250495,0.49747246196875006,0.2921072787216059,0.05210421,128,Wheat,Rice
