sample_id,latitude,longitude,easting_utm,northing_utm,degradation_risk,crop_failure_risk,salinity_risk,overall_risk,degradation_cat,crop_failure_cat,salinity_cat
filebc494d5a79.174,30.7628361,76.33926198,628175.0,3404085.0,44.6,62.1,6.0,43.88000000000001,LOW,MODERATE,LOW
filebc494d5a79.175,30.73195399,76.36766129,630935.0,3400695.0,28.4,44.3,3.4,29.759999999999998,LOW,LOW,LOW
filebc494d5a79.176,30.78873849,76.30304371,624675.0,3406915.0,40.0,43.3,15.2,36.36,LOW,LOW,LOW
filebc494d5a79.177,30.84066481,76.3425376,628385.0,3412715.0,16.3,37.4,6.8,22.84,LOW,LOW,LOW
filebc494d5a79.178,30.74908226,76.33437076,627725.0,3402555.0,53.8,49.2,17.3,44.660000000000004,MODERATE,MODERATE,LOW
filebc494d5a79.179,30.79326,76.35483763,629625.0,3407475.0,46.4,51.6,17.9,42.78,MODERATE,MODERATE,LOW
filebc494d5a79.180,30.7885527,76.35633919,629775.0,3406955.0,61.5,53.0,21.4,50.080000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.181,30.81214854,76.38593918,632575.0,3409605.0,25.2,42.5,7.7,28.619999999999997,LOW,LOW,LOW
filebc494d5a79.182,30.73354751,76.37906835,632025.0,3400885.0,58.1,55.5,16.0,48.64000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.183,30.78827109,76.43283231,637095.0,3407015.0,55.5,48.6,15.8,44.8,MODERATE,MODERATE,LOW
filebc494d5a79.184,30.81387365,76.35073651,629205.0,3409755.0,55.0,54.4,18.0,47.36000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.185,30.85032529,76.35919458,629965.0,3413805.0,40.0,52.1,16.5,40.14,LOW,MODERATE,LOW
filebc494d5a79.186,30.73423274,76.33949287,628235.0,3400915.0,39.1,35.5,17.4,33.32,LOW,LOW,LOW
filebc494d5a79.190,30.82093809,76.33944046,625585.0,3403455.0,45.2,48.7,13.5,40.260000000000005,MODERATE,MODERATE,LOW
filebc494d5a79.191,30.72139208,76.28887386,626125.0,3408365.0,49.2,58.5,8.1,44.7,MODERATE,MODERATE,LOW
filebc494d5a79.192,30.78407756,76.32670266,631295.0,3401465.0,49.8,51.3,17.1,43.86,MODERATE,MODERATE,LOW
filebc494d5a79.193,30.72415168,76.33716029,628115.0,3410525.0,63.9,62.2,18.3,54.10000000000001,MODERATE,MODERATE,LOW
filebc494d5a79.194,30.73502236,76.30628929,623405.0,3399435.0,48.8,36.2,16.7,37.34,MODERATE,LOW,LOW
filebc494d5a79.195,30.80104779,76.40302532,626945.0,3406425.0,48.7,42.8,17.4,40.080000000000005,MODERATE,LOW,LOW
filebc494d5a79.196,30.86050827,76.33434276,628025.0,3399795.0,55.7,52.2,23.8,47.92,MODERATE,MODERATE,LOW
filebc494d5a79.197,30.80344313,76.28515967,625055.0,3400965.0,42.8,42.5,21.6,38.440000000000005,LOW,LOW,LOW
filebc494d5a79.198,30.77782439,76.43111005,634225.0,3408395.0,43.5,50.4,18.7,41.300000000000004,LOW,MODERATE,LOW
filebc494d5a79.199,30.84349271,76.33954459,627575.0,3414905.0,57.0,51.3,21.0,47.52,MODERATE,MODERATE,LOW
filebc494d5a79.200,30.74984177,76.3739729,622945.0,3408525.0,35.3,43.5,19.3,35.38,LOW,LOW,LOW
