longitude,latitude,class,class_name,landuse,date,NDVI
76.38904009928494,30.766101871194973,1,Wheat,wheat,2026-05-06,0.58924204
76.33739634171799,30.718555345643132,1,Wheat,wheat,2026-05-06,0.12610687
76.38195458253371,30.796672848057664,1,Wheat,wheat,2026-05-06,0.15264797
76.37825395311701,30.74970612932216,1,Wheat,wheat,2026-05-06,0.6639905
76.32509107688884,30.735102398551497,1,Wheat,wheat,2026-05-06,0.14225501
76.3265018825923,30.723719711119067,1,Wheat,wheat,2026-05-06,0.14716981
76.32950409647532,30.721794279314942,1,Wheat,wheat,2026-05-06,0.10119048
76.30552227332193,30.786548179750383,1,Wheat,wheat +sugarcane,2026-05-06,0.16290037
76.42478077746068,30.809201050082986,1,Wheat,wheat /maize check sat,2026-05-06,0.114285715
76.40278502535311,30.82766585475171,1,Wheat,wheat napier,2026-05-06,0.13048856
76.38578891987471,30.845351853743086,1,Wheat,wheat xxx,2026-05-06,0.13778706
76.33886678767016,30.787110321176087,1,Wheat,wheat+sugarcane,2026-05-06,0.20175713
76.33683564445974,30.761146881649108,1,Wheat,wheat+sugarcane,2026-05-06,0.6383033
76.38010863831323,30.784512463054174,1,Wheat,wheat+sugarcane(small),2026-05-06,0.19557789
76.39168005994694,30.826071424877508,1,Wheat,wheat33ccc,2026-05-06,0.17652081
76.41968400995884,30.78246111009961,1,Wheat,wheat82872,2026-05-06,0.13861997
76.4016990711484,30.788882151635423,1,Wheat,wheatata,2026-05-06,0.1307099
76.41667138799855,30.76228429549199,1,Wheat,wheatbbccb,2026-05-06,0.45489353
76.39245212726881,30.828860007219408,1,Wheat,wheatxxcxc,2026-05-06,0.17881706
76.43111004854076,30.777824390379514,1,Wheat,wheaxxtt,2026-05-06,0.120527685
76.42594685023616,30.77490395464296,1,Wheat,wsheat221,2026-05-06,0.15266708
76.3372709413635,30.724601665794108,2,Maize_Tall,maize,2026-05-11,0.38492563
76.33739634171799,30.718555345643132,1,Wheat,wheat,2026-05-11,0.10930295
76.3265018825923,30.723719711119067,1,Wheat,wheat,2026-05-11,0.15056571
76.32950409647532,30.721794279314942,1,Wheat,wheat,2026-05-11,0.10716209
76.3372709413635,30.724601665794108,2,Maize_Tall,maize,2026-05-13,0.57217914
76.33739634171799,30.718555345643132,1,Wheat,wheat,2026-05-13,0.12909883
76.3265018825923,30.723719711119067,1,Wheat,wheat,2026-05-13,0.1664666
76.32950409647532,30.721794279314942,1,Wheat,wheat,2026-05-13,0.08812819
76.30413299055623,30.80749410447621,3,Agroforestry,agroforestry,2026-05-13,0.5334174
76.33189366596719,30.75885190554769,3,Agroforestry,agroforestry,2026-05-13,0.4076902
76.36817665217716,30.856907118857684,3,Agroforestry,poplar+sugarcane (small),2026-05-13,0.6332623
76.4166436416022,30.760389929548943,2,Maize_Tall,Maize big8282,2026-05-13,0.115617715
76.28521135283525,30.79947275485687,2,Maize_Tall,Maizeee123,2026-05-13,0.7060343
76.33456189168277,30.86122779189324,2,Maize_Tall,maize,2026-05-13,0.16438076
76.29792509856131,30.82000731192583,2,Maize_Tall,maize,2026-05-13,0.17688979
76.34376863969742,30.793916570572435,2,Maize_Tall,maize,2026-05-13,0.13578947
76.34012878696949,30.795217380997116,2,Maize_Tall,maize,2026-05-13,0.6055454
76.36285224334434,30.77612383261206,2,Maize_Tall,maize,2026-05-13,0.80694634
76.35342030902784,30.774147493269478,2,Maize_Tall,maize,2026-05-13,0.11983155
76.29176418733536,30.7266866256186,2,Maize_Tall,maize,2026-05-13,0.096133076
76.32470989829504,30.730143949818977,2,Maize_Tall,maize,2026-05-13,0.7259242
76.3372709413635,30.724601665794108,2,Maize_Tall,maize,2026-05-13,0.71189874
76.29230657829105,30.775131887534144,2,Maize_Tall,maize,2026-05-13,0.8090408
76.26669817963302,30.782512343433314,2,Maize_Tall,maize,2026-05-13,0.64205927
76.28596931342835,30.80145016765359,2,Maize_Tall,maize,2026-05-13,0.71664995
76.32480790315338,30.744939736203033,2,Maize_Tall,maize,2026-05-13,0.6878049
76.32471679843447,30.776428844827407,2,Maize_Tall,maize,2026-05-13,0.12944984
76.32275595834642,30.770584312064354,2,Maize_Tall,maize,2026-05-13,0.39604938
76.30552419358486,30.73250377163866,2,Maize_Tall,maize,2026-05-13,0.18170331
76.37397290028238,30.749841766549267,2,Maize_Tall,maize,2026-05-13,0.14441206
76.34235526401403,30.76740552643507,4,Others,(long) sugarcane,2026-05-13,0.13637269
76.31754465226645,30.75620151079658,4,Others,Maize (just growing),2026-05-13,0.2742745
76.3961759632188,30.775498613835964,4,Others,bajra,2026-05-13,0.45872802
76.27854219683815,30.785193040794244,4,Others,bajra,2026-05-13,0.7178563
76.36282349321411,30.855520027998757,4,Others,banana,2026-05-13,0.5185085
76.28279388599485,30.822052721289708,4,Others,barseem,2026-05-13,0.29333332
76.31663232437272,30.85789269955634,4,Others,barseem,2026-05-13,0.69417816
76.36283108048643,30.841264844101147,4,Others,barseem,2026-05-13,0.76357687
76.37949074542846,30.785150598595393,4,Others,bitergourd+chilli+tomato cucumber,2026-05-13,0.19273075
76.34793970488174,30.785753171482895,4,Others,brinjal+chilli,2026-05-13,0.4510301
76.34368821251354,30.72796390224372,4,Others,cabbage,2026-05-13,0.4462486
76.35078086441705,30.779678640021974,4,Others,cucumber,2026-05-13,0.11796663
76.36658333019827,30.80351231681864,4,Others,cucumber,2026-05-13,0.3844387
76.29551209434233,30.803791173649973,4,Others,cucumber,2026-05-13,0.55948484
76.30453976944666,30.798918749469113,4,Others,cucumber,2026-05-13,0.513462
76.37930536023663,30.772160488496635,4,Others,cucumber+bittergourd,2026-05-13,0.12906404
76.30805708845197,30.850220442804865,4,Others,flower,2026-05-13,0.21278317
76.36283237849845,30.848753274858748,4,Others,fodder +nappier,2026-05-13,0.2926577
76.3811651441,30.778005174828024,4,Others,fodder(barseem),2026-05-13,0.112286605
76.31077396641193,30.765382757714164,4,Others,green chilli,2026-05-13,0.2705072
76.36167469580474,30.84082589699215,4,Others,horticulture( guava+mango+Spota),2026-05-13,0.7294964
76.34842577145523,30.760666004735327,4,Others,karela+cucumber+beetroot(chukandar),2026-05-13,0.22801302
76.33930773738875,30.758595111807107,4,Others,ladyfinger,2026-05-13,0.4218085
76.36228650580743,30.743378700929384,4,Others,marigold,2026-05-13,0.3275738
76.31536987739328,30.81901935795536,4,Others,muskmelon,2026-05-13,0.7839423
76.29902038014657,30.730403644204934,4,Others,mustar+sugarcane,2026-05-13,0.14477074
76.32580906050669,30.86357329714027,4,Others,mustard,2026-05-13,0.25536576
76.3283037965211,30.870043745078462,4,Others,mustard,2026-05-13,0.10585635
76.35540637507012,30.78910379695007,4,Others,mustard,2026-05-13,0.55393213
76.34946916220666,30.775542025581373,4,Others,mustard,2026-05-13,0.27946955
76.39147455640956,30.761023297340483,4,Others,mustard,2026-05-13,0.41484958
76.31588863981223,30.734293801052193,4,Others,napier/zugrcane,2026-05-13,0.64714056
76.33948466009275,30.85422981817841,4,Others,okra+onion,2026-05-13,0.13900135
76.34143653009487,30.84419490689035,4,Others,onion,2026-05-13,0.15594603
76.30863864371808,30.785163398826068,4,Others,sugarcane,2026-05-13,0.5052342
76.33709320447916,30.76466295324718,4,Others,sugarcane( now sown)(1 m height),2026-05-13,0.22724766
76.33978981411703,30.831039436561845,4,Others,vegatble+muskmelon,2026-05-13,0.78160095
76.32851138051906,30.816810133534638,4,Others,vegetable+muskmelon,2026-05-13,0.15578158
76.31730500737402,30.7846245072241,4,Others,wasteland,2026-05-13,0.12376976
76.39727533319994,30.78649390839142,4,Others,wasteland223,2026-05-13,0.38098362
76.37615324407697,30.770930858725862,1,Wheat,WHEat,2026-05-13,0.18846154
76.33683564445974,30.761146881649108,1,Wheat,Wheat +sugarcane,2026-05-13,0.5413552
76.30304371037768,30.788738493646804,1,Wheat,Wheatnxbx,2026-05-13,0.18434559
76.3139493490568,30.837529549570675,1,Wheat,whaeat+ sugarcane(small),2026-05-13,0.35080752
76.31453613744078,30.81920826698816,1,Wheat,whaet,2026-05-13,0.21171547
76.29814992816998,30.82117796707127,1,Wheat,whaet,2026-05-13,0.16251531
76.42750271390513,30.78120236833959,1,Wheat,wheaatat,2026-05-13,0.17974217
76.39659626619786,30.78289233009027,1,Wheat,whearary,2026-05-13,0.41960582
76.31219930221343,30.831863228198408,1,Wheat,wheat,2026-05-13,0.16662209
76.32227396984737,30.85747430968661,1,Wheat,wheat,2026-05-13,0.1362816
76.32907569970385,30.865344250070226,1,Wheat,wheat,2026-05-13,0.12737262
76.33635083647873,30.862021339115508,1,Wheat,wheat,2026-05-13,0.14649682
76.35628685281,30.85919755805346,1,Wheat,wheat,2026-05-13,0.141919
76.36560731235593,30.860092016350375,1,Wheat,wheat,2026-05-13,0.58552927
76.33861676652617,30.821848829624066,1,Wheat,wheat,2026-05-13,0.13810787
76.33882394188781,30.829244966877127,1,Wheat,wheat,2026-05-13,0.12803598
76.33389484309677,30.83570164606407,1,Wheat,wheat,2026-05-13,0.27193785
76.327723131096,30.8354943936211,1,Wheat,wheat,2026-05-13,0.15340483
76.3457924495507,30.834135001503334,1,Wheat,wheat,2026-05-13,0.13576953
76.3479171843637,30.829060437263493,1,Wheat,wheat,2026-05-13,0.110343635
76.34904797386542,30.820206837017224,1,Wheat,wheat,2026-05-13,0.1960452
76.33005558509234,30.81508004960485,1,Wheat,wheat,2026-05-13,0.13020968
76.31471814971749,30.817221504794404,1,Wheat,wheat,2026-05-13,0.13544993
76.34061885002538,30.807933782661213,1,Wheat,wheat,2026-05-13,0.7765338
76.33952241919195,30.804245972311517,1,Wheat,wheat,2026-05-13,0.13398437
76.33613323464672,30.801032923323405,1,Wheat,wheat,2026-05-13,0.20869099
76.33667910581572,30.79516277962536,1,Wheat,wheat,2026-05-13,0.68676865
76.35207433936421,30.79743911919715,1,Wheat,wheat,2026-05-13,0.1751687
76.35962027132847,30.791495688144888,1,Wheat,wheat,2026-05-13,0.124465354
76.35972896233446,30.784366928795496,1,Wheat,wheat,2026-05-13,0.12065264
76.36657632271489,30.766069867967516,1,Wheat,wheat,2026-05-13,0.09184994
76.32865192989856,30.781441107272677,1,Wheat,wheat,2026-05-13,0.18363795
76.31881297799141,30.764940360108138,1,Wheat,wheat,2026-05-13,0.108004056
76.29610663303197,30.739004138265756,1,Wheat,wheat,2026-05-13,0.7285265
76.2997901342746,30.733283130925173,1,Wheat,wheat,2026-05-13,0.13581833
76.31201700514183,30.756889111209215,1,Wheat,wheat,2026-05-13,0.1310116
76.31113924532524,30.761499424354117,1,Wheat,wheat,2026-05-13,0.16846153
76.30147513189145,30.773145474987185,1,Wheat,wheat,2026-05-13,0.113354035
76.2901947140822,30.78913768790817,1,Wheat,wheat,2026-05-13,0.15210018
76.28809417174969,30.79619606626463,1,Wheat,wheat,2026-05-13,0.1192479
76.30017248325814,30.800586665256873,1,Wheat,wheat,2026-05-13,0.13869864
76.34525668165887,30.7356166952231,1,Wheat,wheat,2026-05-13,0.13262343
