system:index,BSI,NDBI,NDVI,SAVI,point_id,.geo
112,-0.05153227610348697,-0.14887293222400583,0.3758528743095035,0.22703381690428406,112,"{""type"":""Point"",""coordinates"":[76.383491,30.771167]}"
113,0.03934591846508953,1.1867868423648873E-4,0.3807572740307663,0.21641514174168505,113,"{""type"":""Point"",""coordinates"":[76.413143,30.80243]}"
114,-0.06830550269710954,-0.13226173719669412,0.48851913842227096,0.27507807287123975,114,"{""type"":""Point"",""coordinates"":[76.286632,30.754425000000005]}"
115,-0.14026993469301854,-0.21368494969206864,0.566378189929316,0.3443836764794464,115,"{""type"":""Point"",""coordinates"":[76.34454300000002,30.829609]}"
116,0.0012367437255909567,-0.06686853735459383,0.36453123993459263,0.20920541703807255,116,"{""type"":""Point"",""coordinates"":[76.340039,30.811272000000002]}"
117,-0.09974571042483397,-0.1571464990725455,0.515040725094425,0.29022289009459984,117,"{""type"":""Point"",""coordinates"":[76.36238,30.75841099999999]}"
118,-0.06296298725934421,-0.12863810472857773,0.5110053738364202,0.3081798767232753,118,"{""type"":""Point"",""coordinates"":[76.385073,30.781103000000005]}"
119,-0.11056138287991576,-0.16965659239470252,0.5218406228158639,0.2934741911898333,119,"{""type"":""Point"",""coordinates"":[76.42169800000002,30.812711]}"
120,-0.14328752977479142,-0.19587629834839468,0.599351184344417,0.34287040298773214,120,"{""type"":""Point"",""coordinates"":[76.296042,30.771167]}"
121,-0.044567586266420815,-0.12388701168803373,0.44488412041443676,0.27652846700762423,121,"{""type"":""Point"",""coordinates"":[76.35012,30.843529]}"
122,-0.05934665927125561,-0.12512540160366833,0.45186862388346766,0.25891477775426197,122,"{""type"":""Point"",""coordinates"":[76.33762,30.800456]}"
123,-0.09031198069524603,-0.17121848607962353,0.4834525124687873,0.272309998680922,123,"{""type"":""Point"",""coordinates"":[76.364319,30.783785000000005]}"
124,-0.03806164941855868,-0.08435272491886577,0.4564435980986292,0.2525089922859145,124,"{""type"":""Point"",""coordinates"":[76.380498,30.769707]}"
125,-0.29815415195867234,-0.3725852571467878,0.7353721947193003,0.5349693503019626,125,"{""type"":""Point"",""coordinates"":[76.404687,30.808372000000006]}"
126,-0.09417355422409489,-0.16276802573921414,0.4723850588756782,0.2786676344013403,126,"{""type"":""Point"",""coordinates"":[76.290056,30.764305]}"
127,0.05541796009494439,0.006319469073158174,0.3491124286441583,0.21121718517136012,127,"{""type"":""Point"",""coordinates"":[76.347527,30.854241]}"
128,0.10561966320625141,0.05259508778766553,0.17555935992545144,0.10817816324206282,128,"{""type"":""Point"",""coordinates"":[76.336633,30.808372]}"
129,-0.19730629123993973,-0.2823755449346482,0.6019746035035383,0.3746050287678294,129,"{""type"":""Point"",""coordinates"":[76.36159,30.790108000000007]}"
130,-0.14807376980940334,-0.20657334409820582,0.5577557712493948,0.3253376440791269,130,"{""type"":""Point"",""coordinates"":[76.381289,30.76432]}"
131,-0.1621823205387719,-0.24864984179949887,0.5702254965464808,0.3626886408299197,131,"{""type"":""Point"",""coordinates"":[76.412272,30.801461]}"
132,-0.04096265751533372,-0.11358979114765874,0.4354460196791961,0.2647478630200824,132,"{""type"":""Point"",""coordinates"":[76.284832,30.752443000000007]}"
133,-0.31294595764749117,-0.38124998286107775,0.7466520272162922,0.5339089452029407,133,"{""type"":""Point"",""coordinates"":[76.342961,30.830579000000004]}"
134,0.0419822565605547,0.015560692767800997,0.3860488697660869,0.16459094768915453,134,"{""type"":""Point"",""coordinates"":[76.340039,30.811757]}"
