point_id,longitude,latitude,original_class,original_name,original_landuse,rabi_max,spring_max,prekharif_max,prekharif_mean,flood_ndwi_max,flood_mndwi_max,flood_ndvi_mean,kharif_max,kharif_mean,end_max,end_mean,annual_mean,annual_std,annual_min,annual_max,class_rabi_2025_26,class_kharif_2025
76.327723_30.835494,76.327723131096,30.8354943936211,1,Wheat,wheat,0.8965665,0.23731343,0.1609614,0.1367928035,-0.1573604,0.07704785,0.1573604,0.8634976,0.7679910628571428,0.25123152,0.18602613461538461,0.4426774948818898,0.30457517582967103,0.081540205,0.9486189,Wheat,Rice
76.328304_30.870044,76.3283037965211,30.870043745078465,4,Others,mustard,0.8504355,0.6130578,0.28706,0.15970237222222222,,,,0.84862816,0.8110927360000002,0.6554073,0.4311584053846155,0.43500951739999993,0.27986930071200755,0.045008462,0.8836454,Wheat,Rice_Probable
76.328511_30.81681,76.32851138051906,30.81681013353464,4,Others,vegetable+muskmelon,0.8898788,0.8104777,0.79509073,0.45886297160000006,,,,0.79847497,0.319867832,0.5519049,0.3149115307692308,0.4960235268617886,0.28515751883201446,0.039342843,1.0,Other,Kharif_Maize
76.328652_30.781441,76.32865192989856,30.78144110727268,1,Wheat,wheat,0.8505505,0.46192893,0.1976251,0.13973497410000002,-0.10300641,0.1367895,0.06978968,0.87630266,0.8029757242857142,0.6429139,0.4038658876923077,0.45068905118897634,0.2724251688814468,0.06300813,0.9110524,Wheat,Rice
76.329055_30.74237,76.32905542700124,30.74237001647816,1,Wheat,wheat,0.64488065,0.35997963,0.25129384,0.211177247,-0.29464573,-0.07872697,0.32741618,0.7470336,0.6228964214285714,0.4505387,0.28023619000000005,0.41566799009756095,0.15254917321183775,0.044766292,0.7470336,Wheat,Rice
76.329076_30.865344,76.32907569970385,30.865344250070223,1,Wheat,wheat,0.86524206,0.23144105,0.16251154,0.1291165711111111,-0.08190091,0.5614789,0.054706752,0.8857678,0.8191091766666667,0.5361353,0.2739041261538462,0.45335944746875,0.30138122723649646,0.054706752,0.9183507,Wheat,Rice
76.329504_30.721794,76.32950409647532,30.721794279314945,1,Wheat,wheat,0.87899387,0.22599801,0.13364056,0.1061484324090909,-0.048913043,0.16230801,0.121278144,0.86282814,0.7080704181818182,0.22352941,0.17202129808695651,0.43012793147368417,0.29664921019615015,0.066793896,0.91242725,Wheat,Rice
76.330056_30.81508,76.33005558509234,30.81508004960485,1,Wheat,wheat,0.8781726,0.4610601,0.13283208,0.11762089960000002,,,,0.87398463,0.7358213450000001,0.77815783,0.5296560153846154,0.45331653182258064,0.3113056426179443,0.04155547,0.9216098,Wheat,Rice_Probable
76.331894_30.758852,76.33189366596719,30.75885190554769,3,Agroforestry,agroforestry,0.6933462,0.6155539,0.34832585,0.311666793,-0.4735023,-0.13405968,0.59875,0.7834395,0.7013892485714285,0.534996,0.4483990808333334,0.4935796494262295,0.14050998266892706,0.25,0.7834395,Agroforestry,Agroforestry
76.333387_30.761092,76.33338717850488,30.76109215683761,1,Wheat,wheat,0.8782132,0.22080839,0.14409938,0.09565831429999999,-0.14418605,-0.32779807,0.06914263,0.890375,0.7973847985714285,0.5986119,0.4173244833333334,0.4319985169754098,0.30764459546757533,0.029783394,0.94288063,Wheat,Rice_Probable
